ano,mes,data,regiao,uf,cidade,turistas,turistas_estrangeiros,ocupacao_hoteleira,gasto_medio,faturamento_turismo,eventos_realizados,temperatura_media,nivel_temporada
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,226523,55440,26.18,552.13,29146651.27,8,24.0,Baixa
2015,1,2015-01-01,Sudeste,ES,Vitória,13628,45268,67.24,431.5,182027942.8,13,27.8,Baixa
2015,1,2015-01-01,Sudeste,ES,Vila Velha,402097,64902,94.5,808.73,150123833.66,7,23.7,Média
2015,1,2015-01-01,Sudeste,ES,Serra,117216,1601,47.29,1056.24,149715074.71,9,20.7,Média
2015,1,2015-01-01,Sul,PR,Curitiba,389072,38410,38.07,860.51,102637781.45,9,23.7,Média
2015,1,2015-01-01,Sul,PR,Londrina,73157,22142,44.82,1124.07,108903214.41,9,27.6,Alta
2015,1,2015-01-01,Sul,SC,Florianópolis,79355,68693,75.22,256.66,164351341.51,10,21.3,Baixa
2015,1,2015-01-01,Sul,SC,Joinville,366048,30320,59.23,166.0,150903840.76,8,23.9,Baixa
2015,1,2015-01-01,Sul,RS,Porto Alegre,386855,40435,49.98,630.22,67368666.52,12,24.0,Média
2015,1,2015-01-01,Sul,RS,Caxias do Sul,92188,16759,46.1,887.29,96674954.14,10,26.9,Baixa
2015,2,2015-02-01,Norte,AM,Manaus,494059,47858,30.38,528.99,153628272.41,10,24.5,Baixa
2015,2,2015-02-01,Norte,PA,Belém,478679,44853,40.91,989.65,143851921.93,13,18.6,Baixa
2015,2,2015-02-01,Norte,PA,Santarém,343119,61941,57.31,1151.83,6172043.27,6,27.1,Média
2015,2,2015-02-01,Norte,RO,Porto Velho,225798,72298,31.17,295.88,118400663.42,8,25.5,Média
2015,2,2015-02-01,Norte,TO,Palmas,352734,61967,55.45,381.74,61261015.37,8,22.2,Alta
2015,2,2015-02-01,Nordeste,BA,Salvador,319062,59207,94.94,167.94,168880435.65,17,32.9,Baixa
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,220900,1115,64.51,535.46,38053903.32,11,23.8,Média
2015,2,2015-02-01,Nordeste,PE,Recife,314372,62049,60.19,837.92,32159332.21,9,24.0,Média
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,483170,2137,90.51,216.58,164228626.18,6,19.7,Baixa
2015,2,2015-02-01,Nordeste,CE,Fortaleza,101477,72038,79.49,989.81,37024865.25,7,25.2,Média
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,61375,32038,86.44,595.77,2586427.69,15,28.7,Média
2015,2,2015-02-01,Nordeste,MA,São Luís,230646,28343,65.98,292.4,137221591.24,8,26.0,Média
2015,2,2015-02-01,Nordeste,PB,João Pessoa,316160,13561,91.74,687.51,8224680.2,9,24.7,Alta
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,481675,59684,49.59,1080.74,115440648.02,5,19.1,Média
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,439751,51393,84.43,807.76,131600266.88,9,26.4,Média
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,135133,34704,72.76,360.27,132000921.11,10,31.4,Baixa
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,94590,56311,80.57,669.01,71395184.27,12,27.6,Baixa
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,185499,56986,65.47,392.07,70459431.44,12,26.5,Média
2015,2,2015-02-01,Sudeste,SP,São Paulo,292123,62173,51.42,215.87,37379921.6,12,25.9,Baixa
2015,2,2015-02-01,Sudeste,SP,Campinas,281858,45775,63.6,672.58,163298797.8,3,29.4,Média
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,290564,1548,84.26,835.19,198502312.86,12,23.0,Baixa
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,357891,50344,27.5,1120.64,43548478.27,11,20.2,Baixa
2015,2,2015-02-01,Sudeste,RJ,Niterói,303550,39791,50.46,579.32,88511124.81,12,21.1,Baixa
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,306456,50759,66.29,280.46,136829276.99,12,23.4,Baixa
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,237158,53750,25.97,873.28,99142993.96,14,23.9,Baixa
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,227325,1896,44.74,955.0,20628138.11,10,19.0,Alta
2015,2,2015-02-01,Sudeste,MG,Uberlândia,461017,5810,80.85,533.8,161990030.74,9,21.5,Alta
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,98146,27063,92.04,1017.71,138626851.07,10,24.2,Baixa
2015,2,2015-02-01,Sudeste,ES,Vitória,212956,6431,82.31,424.32,136060083.9,8,24.0,Alta
2015,2,2015-02-01,Sudeste,ES,Vila Velha,148143,18055,26.29,925.29,196401078.19,16,22.6,Média
2015,2,2015-02-01,Sudeste,ES,Serra,37463,67530,83.84,800.56,84779677.57,12,24.0,Média
2015,2,2015-02-01,Sul,PR,Curitiba,65516,25517,67.06,542.46,193502078.27,12,28.0,Alta
2015,2,2015-02-01,Sul,PR,Londrina,416129,58117,45.7,610.85,76787195.12,12,31.9,Média
2015,2,2015-02-01,Sul,SC,Florianópolis,493675,70172,65.21,931.65,193153910.69,10,27.8,Alta
2015,2,2015-02-01,Sul,SC,Joinville,126883,27854,48.67,655.92,165663459.22,9,25.6,Média
2015,2,2015-02-01,Sul,RS,Porto Alegre,204423,34975,32.44,1178.37,187337730.69,11,29.6,Média
2015,2,2015-02-01,Sul,RS,Caxias do Sul,193281,5688,31.54,470.08,104264166.13,9,28.3,Baixa
2015,3,2015-03-01,Norte,AM,Manaus,35522,13309,75.83,636.19,127434584.18,13,29.6,Alta
2015,3,2015-03-01,Norte,PA,Belém,429093,62947,43.16,659.54,47224456.3,9,28.7,Baixa
2015,3,2015-03-01,Norte,PA,Santarém,412425,11079,49.37,689.58,119528006.36,9,27.6,Média
2015,3,2015-03-01,Norte,RO,Porto Velho,124941,10159,83.98,959.57,137027784.72,12,29.7,Alta
2015,3,2015-03-01,Norte,TO,Palmas,259413,65383,80.34,927.24,181568103.93,7,27.3,Baixa
2015,3,2015-03-01,Nordeste,BA,Salvador,217057,75113,78.52,854.69,65558405.63,13,27.1,Média
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,134181,37635,86.68,203.78,165460125.35,15,23.5,Média
2015,3,2015-03-01,Nordeste,PE,Recife,423091,27376,31.89,220.4,182833309.87,7,29.3,Alta
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,22734,17991,67.01,329.92,111861382.66,9,23.7,Baixa
2015,3,2015-03-01,Nordeste,CE,Fortaleza,461420,27609,63.72,191.22,52587869.61,7,24.6,Alta
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,144162,48457,33.84,1148.61,129746235.73,8,23.5,Alta
2015,3,2015-03-01,Nordeste,MA,São Luís,20295,2742,43.68,1133.96,26703980.76,11,28.4,Baixa
2015,3,2015-03-01,Nordeste,PB,João Pessoa,345143,1960,74.11,238.53,73936176.04,8,22.4,Média
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,310968,55745,52.54,1070.02,144128763.04,18,22.4,Alta
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,408571,11468,53.82,456.23,93992067.28,8,23.2,Média
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,435540,2919,41.9,1148.74,182260304.14,8,30.4,Média
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,429666,59758,31.5,798.39,135557967.86,6,17.0,Baixa
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,350873,43496,81.7,439.1,91940092.45,10,23.8,Alta
2015,3,2015-03-01,Sudeste,SP,São Paulo,334840,52947,30.52,635.45,159126254.68,13,17.6,Alta
2015,3,2015-03-01,Sudeste,SP,Campinas,93992,35259,47.66,536.01,182889114.59,10,27.9,Baixa
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,94167,71268,81.67,576.61,8902403.98,16,22.3,Média
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,179656,9432,92.23,1072.41,16092097.81,16,28.7,Média
2015,3,2015-03-01,Sudeste,RJ,Niterói,184959,41269,79.36,421.63,116770482.16,13,21.8,Média
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,449183,16130,80.1,1096.32,55383777.68,8,25.1,Baixa
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,472690,43093,33.9,920.66,191166866.63,13,26.2,Alta
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,104085,42148,27.59,296.06,139200776.96,10,29.2,Baixa
2015,3,2015-03-01,Sudeste,MG,Uberlândia,168462,15830,60.92,1033.06,82623718.22,9,22.7,Alta
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,68338,65247,93.65,414.45,38656597.03,20,29.6,Média
2015,3,2015-03-01,Sudeste,ES,Vitória,176791,11677,44.95,744.08,156933223.63,14,16.4,Baixa
2015,3,2015-03-01,Sudeste,ES,Vila Velha,296783,40519,65.75,367.74,92818587.96,6,25.4,Alta
2015,3,2015-03-01,Sudeste,ES,Serra,164658,40186,61.88,895.98,6857153.13,11,17.6,Baixa
2015,3,2015-03-01,Sul,PR,Curitiba,206507,60679,52.54,946.14,36791252.76,12,24.1,Alta
2015,3,2015-03-01,Sul,PR,Londrina,282819,79682,58.72,562.66,146189366.08,9,17.6,Média
2015,3,2015-03-01,Sul,SC,Florianópolis,497877,56293,73.2,1128.14,159734718.97,7,27.8,Média
2015,3,2015-03-01,Sul,SC,Joinville,344659,28979,87.09,609.3,52079342.15,9,22.5,Baixa
2015,3,2015-03-01,Sul,RS,Porto Alegre,363420,32645,64.69,617.97,188113866.24,6,23.2,Alta
2015,3,2015-03-01,Sul,RS,Caxias do Sul,322975,9996,53.24,370.04,2746006.32,6,25.8,Baixa
2015,4,2015-04-01,Norte,AM,Manaus,54264,52838,45.13,251.05,21719611.35,10,23.4,Alta
2015,4,2015-04-01,Norte,PA,Belém,353830,41631,36.77,577.8,87756282.13,9,23.4,Baixa
2015,4,2015-04-01,Norte,PA,Santarém,298103,55532,69.38,411.45,12694275.27,6,23.3,Baixa
2015,4,2015-04-01,Norte,RO,Porto Velho,30159,43090,35.53,929.28,180779755.48,11,21.8,Alta
2015,4,2015-04-01,Norte,TO,Palmas,330145,11474,88.31,713.14,126385302.26,10,26.6,Alta
2015,4,2015-04-01,Nordeste,BA,Salvador,27166,46941,40.63,686.6,192341749.3,14,26.4,Alta
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,316835,56095,31.33,1077.16,26252299.22,12,18.2,Baixa
2015,4,2015-04-01,Nordeste,PE,Recife,33930,29510,37.53,845.62,95058988.89,11,22.5,Alta
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,491924,37693,89.54,163.73,157891042.71,8,29.8,Alta
2015,4,2015-04-01,Nordeste,CE,Fortaleza,146558,79895,51.99,291.26,130519606.86,10,24.3,Baixa
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,419410,66484,38.68,1123.51,102716240.86,11,24.4,Baixa
2015,4,2015-04-01,Nordeste,MA,São Luís,374839,22048,64.44,495.53,179822187.52,7,29.0,Alta
2015,4,2015-04-01,Nordeste,PB,João Pessoa,312919,54641,28.78,431.61,144393415.68,14,19.5,Alta
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,16294,16632,55.44,1175.14,183718434.4,12,26.4,Baixa
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,233363,41374,46.77,550.99,39866377.45,7,29.5,Alta
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,147909,15505,35.62,245.73,156418240.98,7,26.2,Média
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,305476,62345,52.34,1162.68,125684881.3,11,22.7,Alta
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,34594,52904,40.5,186.18,16150289.28,8,26.7,Alta
2015,4,2015-04-01,Sudeste,SP,São Paulo,258027,56379,84.25,781.09,177294811.01,12,23.5,Média
2015,4,2015-04-01,Sudeste,SP,Campinas,356358,4990,66.06,255.03,154811766.98,10,28.7,Média
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,439173,21134,34.62,763.82,27342729.69,13,19.4,Baixa
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,56055,71928,28.95,487.69,132536301.93,6,33.5,Média
2015,4,2015-04-01,Sudeste,RJ,Niterói,497332,71281,40.64,199.99,80930984.91,6,27.3,Baixa
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,151608,17434,92.54,428.01,194153836.03,11,25.7,Baixa
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,265650,50979,49.2,930.05,162083353.77,9,19.4,Média
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,233387,63088,50.98,962.1,168456988.61,15,31.6,Alta
2015,4,2015-04-01,Sudeste,MG,Uberlândia,348443,65187,36.88,516.63,87789273.32,6,18.7,Baixa
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,335650,29567,28.51,1018.17,151035805.54,14,20.7,Baixa
2015,4,2015-04-01,Sudeste,ES,Vitória,302739,5492,79.59,281.58,57574710.59,7,29.7,Média
2015,4,2015-04-01,Sudeste,ES,Vila Velha,339272,4820,25.96,516.82,69225007.2,13,18.8,Média
2015,4,2015-04-01,Sudeste,ES,Serra,115068,13892,41.02,406.43,145390348.88,8,25.5,Alta
2015,4,2015-04-01,Sul,PR,Curitiba,295875,46128,44.45,648.36,4463218.69,11,25.7,Baixa
2015,4,2015-04-01,Sul,PR,Londrina,386786,1601,58.39,642.18,26666777.39,11,21.2,Baixa
2015,4,2015-04-01,Sul,SC,Florianópolis,425941,38494,82.69,1118.58,194385968.95,16,16.5,Alta
2015,4,2015-04-01,Sul,SC,Joinville,52967,30449,73.37,1065.07,113635986.19,13,23.8,Baixa
2015,4,2015-04-01,Sul,RS,Porto Alegre,273698,38029,77.45,238.15,118284402.13,18,24.9,Média
2015,4,2015-04-01,Sul,RS,Caxias do Sul,468055,32644,69.29,282.49,129759276.39,8,23.8,Baixa
2015,5,2015-05-01,Norte,AM,Manaus,117753,21125,60.14,543.55,122329987.17,10,32.2,Baixa
2015,5,2015-05-01,Norte,PA,Belém,147602,57306,38.88,701.35,42969923.01,5,23.6,Baixa
2015,5,2015-05-01,Norte,PA,Santarém,361841,45530,61.8,1069.87,33861112.06,15,28.6,Alta
2015,5,2015-05-01,Norte,RO,Porto Velho,302637,68573,73.24,501.7,128553949.27,12,24.6,Alta
2015,5,2015-05-01,Norte,TO,Palmas,162890,55740,28.95,667.29,188316080.4,11,21.1,Alta
2015,5,2015-05-01,Nordeste,BA,Salvador,227308,35218,80.55,1016.69,44289910.07,11,22.2,Média
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,190627,26077,45.65,218.79,145793089.61,11,23.1,Baixa
2015,5,2015-05-01,Nordeste,PE,Recife,458450,73369,53.14,876.54,144523365.19,8,22.4,Média
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,463514,45724,55.58,285.89,146585271.3,8,23.2,Baixa
2015,5,2015-05-01,Nordeste,CE,Fortaleza,354702,14867,49.16,638.79,36348242.58,14,26.5,Baixa
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,43630,71854,39.02,746.2,24310668.01,11,26.7,Baixa
2015,5,2015-05-01,Nordeste,MA,São Luís,320438,7816,70.24,426.71,161659677.34,7,28.6,Baixa
2015,5,2015-05-01,Nordeste,PB,João Pessoa,57872,70745,36.79,735.64,68288763.26,11,22.1,Alta
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,72028,49494,71.62,960.17,112614522.77,12,28.1,Média
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,255668,30258,91.74,1015.32,95815454.66,17,16.8,Alta
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,314175,45629,53.66,911.16,135504584.89,13,31.8,Alta
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,351435,2181,94.94,924.56,89560802.8,11,19.5,Média
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,17281,60258,90.24,784.91,89941535.7,8,26.0,Média
2015,5,2015-05-01,Sudeste,SP,São Paulo,183097,22622,43.22,550.8,60881020.96,7,28.7,Alta
2015,5,2015-05-01,Sudeste,SP,Campinas,288671,41016,27.1,551.5,175921542.41,7,33.1,Média
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,368781,32112,44.7,495.85,160656671.48,10,27.1,Alta
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,428390,52630,42.1,1092.18,4556017.65,12,18.3,Alta
2015,5,2015-05-01,Sudeste,RJ,Niterói,367392,54171,36.41,807.76,179293516.02,7,27.3,Alta
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,494601,23727,71.59,304.55,7232776.41,10,31.7,Média
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,133283,75140,85.88,830.56,69863822.13,9,33.4,Alta
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,101272,61497,65.29,1050.15,145473623.91,11,30.5,Média
2015,5,2015-05-01,Sudeste,MG,Uberlândia,228670,40625,59.79,348.78,109205261.65,9,28.3,Alta
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,141555,68599,49.37,630.85,37982876.31,10,28.4,Alta
2015,5,2015-05-01,Sudeste,ES,Vitória,42330,39359,57.08,629.46,35366535.61,9,26.9,Baixa
2015,5,2015-05-01,Sudeste,ES,Vila Velha,329538,8091,94.64,408.43,27440925.26,9,26.0,Baixa
2015,5,2015-05-01,Sudeste,ES,Serra,285743,27008,70.7,591.11,56637064.01,10,15.9,Média
2015,5,2015-05-01,Sul,PR,Curitiba,221189,57102,69.3,430.41,143154476.35,8,21.9,Média
2015,5,2015-05-01,Sul,PR,Londrina,13475,52786,59.6,1092.92,61865837.78,8,18.1,Média
2015,5,2015-05-01,Sul,SC,Florianópolis,218607,18393,65.96,253.62,126453310.63,8,22.4,Baixa
2015,5,2015-05-01,Sul,SC,Joinville,373547,8375,76.11,1124.64,121248034.83,7,27.3,Média
2015,5,2015-05-01,Sul,RS,Porto Alegre,460986,35017,86.89,586.51,126216925.34,13,25.1,Média
2015,5,2015-05-01,Sul,RS,Caxias do Sul,124993,74659,54.24,1051.85,55390078.73,9,23.9,Baixa
2015,6,2015-06-01,Norte,AM,Manaus,467307,11943,25.56,867.57,82782116.21,4,19.7,Alta
2015,6,2015-06-01,Norte,PA,Belém,480998,74779,55.32,824.39,90406291.7,10,23.0,Baixa
2015,6,2015-06-01,Norte,PA,Santarém,343452,2519,71.55,968.57,19239336.87,12,21.2,Alta
2015,6,2015-06-01,Norte,RO,Porto Velho,236409,13834,41.4,255.15,71013928.39,9,25.5,Baixa
2015,6,2015-06-01,Norte,TO,Palmas,462561,57769,73.53,1097.86,81197589.68,7,28.7,Alta
2015,6,2015-06-01,Nordeste,BA,Salvador,205033,61223,87.23,978.26,89000466.25,14,26.9,Média
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,122229,36062,36.95,295.47,131183523.85,11,25.0,Alta
2015,6,2015-06-01,Nordeste,PE,Recife,169606,27402,55.62,329.44,26793871.34,7,22.9,Alta
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,486543,63555,37.44,903.75,55326931.95,11,27.5,Média
2015,6,2015-06-01,Nordeste,CE,Fortaleza,38641,3106,53.13,554.36,169554291.13,5,28.8,Alta
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,462824,14865,73.05,560.68,18127843.45,9,20.7,Alta
2015,6,2015-06-01,Nordeste,MA,São Luís,339827,31385,67.55,505.51,70896526.56,7,31.0,Alta
2015,6,2015-06-01,Nordeste,PB,João Pessoa,361211,35956,79.63,624.52,115385860.19,15,27.9,Baixa
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,72709,62835,43.23,403.03,105872245.32,6,26.0,Média
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,169236,7432,90.67,156.98,152824045.8,13,19.9,Baixa
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,458563,59114,77.99,591.69,73941344.62,9,23.2,Média
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,118957,14536,66.09,808.56,40761567.79,10,21.6,Média
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,162639,15564,45.08,240.04,99954761.24,11,31.1,Baixa
2015,6,2015-06-01,Sudeste,SP,São Paulo,495195,48552,25.96,324.0,198690174.42,8,26.5,Alta
2015,6,2015-06-01,Sudeste,SP,Campinas,392159,53340,27.12,644.61,37685814.67,10,17.4,Baixa
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,209400,41316,87.2,475.88,166014026.78,12,20.4,Baixa
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,189971,19273,70.64,283.26,75098055.1,6,23.7,Alta
2015,6,2015-06-01,Sudeste,RJ,Niterói,310556,24991,32.34,562.97,114955794.5,7,23.3,Alta
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,412633,53170,55.61,823.24,158485497.89,11,25.9,Baixa
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,149931,10643,78.45,381.43,29728418.47,8,26.3,Baixa
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,51862,6997,84.94,305.56,154610966.82,8,19.7,Média
2015,6,2015-06-01,Sudeste,MG,Uberlândia,70607,76937,60.52,437.99,33850576.56,9,24.6,Alta
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,36350,19837,40.74,166.16,108739550.62,7,28.5,Alta
2015,6,2015-06-01,Sudeste,ES,Vitória,29712,10682,53.43,761.64,157119409.27,10,30.9,Baixa
2015,6,2015-06-01,Sudeste,ES,Vila Velha,16195,65465,85.89,261.72,167502247.64,11,33.8,Alta
2015,6,2015-06-01,Sudeste,ES,Serra,423816,47070,57.82,978.03,36294781.8,11,25.3,Baixa
2015,6,2015-06-01,Sul,PR,Curitiba,428069,62718,53.82,1047.06,190646167.97,13,26.0,Baixa
2015,6,2015-06-01,Sul,PR,Londrina,372299,37557,72.75,398.91,182040560.68,10,24.6,Alta
2015,6,2015-06-01,Sul,SC,Florianópolis,225720,72899,87.45,536.74,134240626.61,10,23.3,Baixa
2015,6,2015-06-01,Sul,SC,Joinville,120251,71157,41.75,205.46,188281941.15,3,21.2,Média
2015,6,2015-06-01,Sul,RS,Porto Alegre,227342,50980,74.66,1173.65,93608525.86,12,22.8,Baixa
2015,6,2015-06-01,Sul,RS,Caxias do Sul,244807,46400,69.17,1083.88,49497820.55,10,23.2,Baixa
2015,7,2015-07-01,Norte,AM,Manaus,64756,26841,52.05,703.75,74895160.12,9,18.5,Baixa
2015,7,2015-07-01,Norte,PA,Belém,113010,7066,91.91,1007.42,153571894.37,9,24.7,Alta
2015,7,2015-07-01,Norte,PA,Santarém,461057,50973,47.62,306.37,15140929.18,12,29.9,Alta
2015,7,2015-07-01,Norte,RO,Porto Velho,86002,34496,47.04,189.8,165267705.0,9,20.1,Baixa
2015,7,2015-07-01,Norte,TO,Palmas,12723,18329,65.59,1018.22,84649268.15,11,22.3,Baixa
2015,7,2015-07-01,Nordeste,BA,Salvador,461513,47719,34.58,442.94,53270488.83,10,26.9,Baixa
2015,7,2015-07-01,Nordeste,BA,Feira de Santana,398734,61476,86.04,909.82,187309163.01,7,23.5,Média
2015,7,2015-07-01,Nordeste,PE,Recife,376670,61506,64.01,1023.73,34001247.22,9,25.8,Alta
2015,7,2015-07-01,Nordeste,PE,Jaboatão dos Guararapes,122640,74838,65.96,179.86,98174291.81,5,23.4,Alta
2015,7,2015-07-01,Nordeste,CE,Fortaleza,36570,23779,68.39,728.8,190480533.67,14,26.4,Média
2015,7,2015-07-01,Nordeste,CE,Juazeiro do Norte,113978,39195,59.59,1169.81,174961082.57,13,25.7,Baixa
2015,7,2015-07-01,Nordeste,MA,São Luís,134213,30149,90.02,728.33,182612557.9,8,21.3,Baixa
2015,7,2015-07-01,Nordeste,PB,João Pessoa,431133,71414,79.06,611.28,159687503.89,11,21.6,Média
2015,7,2015-07-01,Centro-Oeste,DF,Brasília,319413,55729,71.02,561.31,164043780.94,13,26.8,Alta
2015,7,2015-07-01,Centro-Oeste,GO,Goiânia,446028,71984,46.43,671.33,63925546.32,14,24.2,Alta
